QIs,k,metric,QI,gen. intensity,granularity,n.u. entropy,sq. err.
9,2,Loss,sex,0.9997347655990982,0.9997347655990982,0.999708217046482,0.9997347655990982
9,2,Loss,salary-class,0.9998673827995491,0.999867382799549,0.9998361872561176,0.9998673827995491
9,2,Loss,race,0.9990716795968437,0.9990716795969805,0.997549410102817,0.9992530947763316
9,2,Loss,workclass,0.9853789536502885,0.9912188467987155,0.9678570350777989,0.9966526951557176
9,2,Loss,marital-status,0.9930044426762151,0.9911699047365844,0.9837789505357593,0.9937246165495404
9,2,Loss,occupation,0.9690173065446588,0.9786001744426259,0.9625642949846716,0.9673867250951994
9,2,Loss,education,0.9356032977477196,0.9558362619631766,0.8944360148574249,0.9429177854684736
9,2,Loss,native-country,0.9533850540415092,0.96817684503682,0.6942690708090145,0.9525214521653814
9,2,Loss,age,0.7403852529673098,0.8855168621430319,0.6919549163276646,0.0
9,3,Loss,sex,0.9997016112989855,0.9997016112989854,0.999674673512612,0.9997016112989855
9,3,Loss,salary-class,0.9998010741993236,0.9998010741993237,0.9997542808841763,0.9998010741993236
9,3,Loss,race,0.9984085935945892,0.9984085935947262,0.9952489241610092,0.9989072267324169
9,3,Loss,workclass,0.9756481665672038,0.9853600083359383,0.9467086685819797,0.9944330136308529
9,3,Loss,marital-status,0.9864730455540084,0.9829421125919607,0.9689739163917936,0.9882539940800631
9,3,Loss,occupation,0.9479643259730787,0.9635098672297973,0.9378286204158863,0.9450565116871879
9,3,Loss,education,0.8951992573436752,0.9281634728024225,0.8323919799896018,0.9027819923535702
9,3,Loss,native-country,0.9360950865327233,0.9552955705855244,0.6095439187720944,0.934166013409842
9,3,Loss,age,0.6332719978781247,0.8156001363679218,0.5763021678342193,0.0
9,4,Loss,sex,0.9996684569988727,0.9996684569988727,0.9996458664597876,0.9996684569988727
9,4,Loss,salary-class,0.9998010741993236,0.9998010741993237,0.9997743571595915,0.9998010741993236
9,4,Loss,race,0.9970161129898548,0.9970161129899918,0.9910996775020575,0.9980075454402709
9,4,Loss,workclass,0.9671772428884027,0.9797806132598256,0.9285552547482154,0.9918984762440729
9,4,Loss,marital-status,0.9829255354419468,0.9783944477598405,0.9601238504466877,0.9851000319150933
9,4,Loss,occupation,0.9314037530667727,0.9513473397499935,0.9179201302658471,0.9269036586922338
9,4,Loss,education,0.8705987666600311,0.9094622372521717,0.796231611083714,0.8766048742629147
9,4,Loss,native-country,0.9217558517339699,0.9431362310191801,0.5517367119659361,0.9188452096496657
9,4,Loss,age,0.5700218818380745,0.7717818728361128,0.5106500801104659,0.0
9,5,Loss,sex,0.9999668456998873,0.9999668456998874,1.0,0.9999668456998873
9,5,Loss,salary-class,0.9997679198992109,0.9997679198992109,0.9997175623824505,0.9997679198992109
9,5,Loss,race,0.9966845699887276,0.9966845699888648,0.9901166895863682,0.9978208191343538
9,5,Loss,workclass,0.9617067833698031,0.9766404274062918,0.9168414983056801,0.9909235737081756
9,5,Loss,marital-status,0.9788807108281944,0.9735152399265934,0.9521708115983962,0.981153824492018
9,5,Loss,occupation,0.9175452556196538,0.9412760835080642,0.9013246628507738,0.9137273751493629
9,5,Loss,education,0.8461861503436976,0.8924408195742988,0.7630304401753295,0.8515526083518309
9,5,Loss,native-country,0.9147768715602413,0.9380163782242714,0.530538904091888,0.9101170614127722
9,5,Loss,age,0.526216762814137,0.7377086292940043,0.4661163705110639,0.0
9,6,Loss,sex,0.9995358397984219,0.9995358397984218,0.9994969226430133,0.9995358397984219
9,6,Loss,salary-class,1.0,1.0,1.0,1.0
9,6,Loss,race,0.9958225581857967,0.9958225581859338,0.987614349617043,0.997105742258285
9,6,Loss,workclass,0.9555400835488362,0.9732018528517434,0.9038810677961309,0.9897185439642341
9,6,Loss,marital-status,0.9758636695179365,0.9699069469309974,0.9459061047921895,0.9785380384107535
9,6,Loss,occupation,0.9076818513361183,0.9337781110210372,0.8910432073336542,0.9051796069441596
9,6,Loss,education,0.829056428618792,0.879313927016334,0.7378220699726756,0.8315166701727801
9,6,Loss,native-country,0.908444400238711,0.9320651813540363,0.5115455442570993,0.9033989441757563
9,6,Loss,age,0.4876500232080101,0.7008480802989883,0.42878586924574535,0.0
9,7,Loss,sex,0.9994363768980837,0.9994363768980836,0.9993815097418675,0.9994363768980837
9,7,Loss,salary-class,0.9999005370996619,0.9999005370996619,1.0,0.9999005370996619
