sex;salary-class;race;workclass;marital-status;occupation;education;native-country;age
*;<=50K;White;*;spouse-not-present;Adm-clerical;Bachelors;United-States;39
*;*;*;*;Married-civ-spouse;Exec-managerial;Bachelors;United-States;50
Male;*;*;Non-Government;*;Handlers-cleaners;HS-grad;United-States;38
Male;*;*;*;Married-civ-spouse;*;High-School;United-States;53
*;<=50K;*;Private;*;*;Higher-education;North-America;28
*;*;*;*;Married-civ-spouse;*;Higher-education;United-States;37
*;<=50K;Black;Non-Government;spouse-not-present;Other-service;High-School;Jamaica;*
*;*;White;Non-Government;Married-civ-spouse;Exec-managerial;HS-grad;United-States;52
*;*;White;*;*;Prof-specialty;Masters;United-States;31
Male;>50K;White;Private;Married-civ-spouse;Exec-managerial;Bachelors;United-States;42
*;*;*;Non-Government;*;Exec-managerial;Some-college;United-States;37
*;*;*;*;*;*;Bachelors;Asia;30
Female;<=50K;White;Private;Never-married;Adm-clerical;Bachelors;United-States;23
*;<=50K;*;Non-Government;spouse-not-present;Sales;Assoc-acdm;United-States;30-34
Male;*;*;Private;Married-civ-spouse;*;*;North-America;34
*;<=50K;White;*;Never-married;Other;HS-grad;United-States;25
*;<=50K;*;Private;Never-married;Machine-op-inspct;HS-grad;United-States;32
*;*;White;Non-Government;*;Sales;High-School;United-States;38
*;*;White;Non-Government;spouse-not-present;Exec-managerial;Masters;United-States;43
*;*;White;*;Married-civ-spouse;Prof-specialty;Doctorate;United-States;40
*;<=50K;*;Private;*;Other-service;HS-grad;United-States;54
Male;<=50K;*;*;Married-civ-spouse;*;High-School;United-States;30-34
Male;<=50K;White;Private;Married-civ-spouse;*;High-School;United-States;43
*;*;White;Private;spouse-not-present;Technical;HS-grad;United-States;59
Male;*;White;*;Married-civ-spouse;*;Bachelors;United-States;56
Male;<=50K;White;Private;Never-married;Craft-repair;HS-grad;United-States;19
*;<=50K;White;*;spouse-not-present;Exec-managerial;HS-grad;United-States;39
Male;<=50K;White;Non-Government;Married-civ-spouse;Craft-repair;HS-grad;United-States;49
*;*;White;*;spouse-not-present;*;Higher-education;United-States;23
*;<=50K;*;Private;*;Sales;Some-college;United-States;20
*;<=50K;White;Non-Government;spouse-not-present;Exec-managerial;Bachelors;United-States;45
*;*;*;*;*;Other;Some-college;United-States;30
*;*;*;*;*;*;Some-college;United-States;22
*;<=50K;*;Private;spouse-not-present;Technical;High-School;Puerto-Rico;40-49
*;<=50K;White;Private;spouse-not-present;*;Some-college;United-States;21
*;<=50K;White;Private;*;*;HS-grad;United-States;19
*;*;White;*;Married-civ-spouse;Prof-specialty;Professional-Education;United-States;48
Male;<=50K;*;Private;*;Machine-op-inspct;High-School;United-States;31
*;*;White;*;Married-civ-spouse;Prof-specialty;Bachelors;United-States;53
*;*;White;Private;Married-civ-spouse;*;Bachelors;United-States;24
Female;<=50K;White;Private;spouse-not-present;Adm-clerical;HS-grad;United-States;49
Male;<=50K;White;Private;Never-married;Handlers-cleaners;HS-grad;United-States;25
*;*;*;*;*;Prof-specialty;Higher-education;United-States;57
Male;*;White;Private;Married-civ-spouse;Machine-op-inspct;HS-grad;United-States;53
*;*;*;*;*;Exec-managerial;Masters;United-States;44
Male;*;White;*;Married-civ-spouse;Technical;Higher-education;United-States;41
*;*;White;Private;Never-married;Prof-specialty;Higher-education;United-States;29
*;*;*;Private;Married-civ-spouse;Nontechnical;Some-college;United-States;25
*;*;*;Non-Government;*;*;*;North-America;47
*;*;White;*;Divorced;Exec-managerial;Bachelors;United-States;50
*;<=50K;White;Non-Government;spouse-not-present;*;HS-grad;United-States;47
*;*;*;Non-Government;Married-civ-spouse;Technical;Some-college;United-States;43
*;<=50K;White;Private;*;Machine-op-inspct;5th-6th;Mexico;40-59
*;*;*;Private;Married-civ-spouse;*;Higher-education;*;35
*;*;White;*;Married-civ-spouse;Adm-clerical;HS-grad;United-States;41
Male;<=50K;White;Private;Married-civ-spouse;Machine-op-inspct;HS-grad;United-States;30
*;*;White;Private;Married-civ-spouse;Sales;Bachelors;United-States;30
Male;*;White;Private;*;Transport-moving;HS-grad;United-States;48
*;*;*;Non-Government;*;Prof-specialty;Doctorate;United-States;42
*;<=50K;White;Private;spouse-not-present;Tech-support;Undergraduate;United-States;29
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;HS-grad;United-States;36
*;*;White;Private;*;Adm-clerical;Some-college;United-States;28
*;*;White;Non-Government;Married-civ-spouse;Other;High-School;United-States;53
Male;*;White;Non-Government;Married-civ-spouse;Exec-managerial;Some-college;United-States;49
Male;<=50K;White;Private;Never-married;Technical;Some-college;United-States;19
*;*;*;*;spouse-not-present;*;Higher-education;United-States;30-34
*;*;*;Non-Government;*;Sales;Bachelors;United-States;25-29
*;<=50K;*;Private;Never-married;Machine-op-inspct;Some-college;North-America;23
*;*;White;Non-Government;*;*;*;United-States;79
*;<=50K;White;Private;Never-married;Other;HS-grad;Mexico;25-29
Male;*;White;Private;Married-civ-spouse;*;Assoc-acdm;United-States;40
Female;<=50K;White;Private;Never-married;Other-service;11th;United-States;18
*;<=50K;*;*;*;Other;High-School;United-States;31
*;<=50K;White;Private;Never-married;Sales;High-School;United-States;18
*;*;*;Private;*;*;*;North-America;50-54
*;<=50K;White;Private;*;Other-service;HS-grad;United-States;46
*;*;White;*;Married-civ-spouse;Sales;HS-grad;United-States;59
*;*;White;Private;Divorced;*;HS-grad;United-States;44
*;*;White;Private;*;Sales;HS-grad;United-States;53
Male;*;White;*;Married-civ-spouse;Other;HS-grad;United-States;49
Male;*;White;Private;Married-civ-spouse;Prof-specialty;Masters;United-States;33
Male;<=50K;*;*;*;*;High-School;United-States;30
*;*;*;Government;*;Prof-specialty;Higher-education;United-States;43
Male;*;White;Non-Government;Married-civ-spouse;Prof-specialty;Professional-Education;United-States;57
*;*;White;*;*;Craft-repair;Some-college;United-States;37
*;<=50K;*;Private;*;*;Some-college;United-States;28
Male;*;*;*;Married-civ-spouse;Other;Bachelors;United-States;34
*;<=50K;White;*;spouse-not-present;*;Higher-education;United-States;29
*;>50K;White;*;*;Prof-specialty;Doctorate;United-States;48
Male;*;White;Private;Married-civ-spouse;Sales;Undergraduate;United-States;37
*;*;White;*;spouse-not-present;*;Higher-education;Europe;45-49
*;<=50K;*;*;spouse-not-present;*;High-School;United-States;32
Male;*;White;*;Married-civ-spouse;*;*;United-States;76
Male;>50K;White;Private;Married-civ-spouse;Exec-managerial;Bachelors;United-States;44
*;*;White;Non-Government;spouse-not-present;Prof-specialty;Masters;United-States;47
*;<=50K;White;*;Never-married;Tech-support;Some-college;United-States;20
Male;<=50K;White;Private;Never-married;Craft-repair;HS-grad;United-States;29
Male;*;White;Non-Government;Married-civ-spouse;Craft-repair;HS-grad;United-States;32
*;<=50K;White;Private;*;*;11th;United-States;30
*;*;*;Government;spouse-not-present;Other;HS-grad;United-States;31
*;*;*;Private;*;Handlers-cleaners;HS-grad;United-States;42
Male;<=50K;White;Private;Never-married;Sales;Bachelors;United-States;24
Male;*;White;Non-Government;Married-civ-spouse;Prof-specialty;Prof-school;United-States;38
*;*;*;Non-Government;Married-civ-spouse;*;HS-grad;*;*
*;*;White;Private;Married-civ-spouse;Nontechnical;Some-college;United-States;28
*;<=50K;White;Private;spouse-not-present;Machine-op-inspct;HS-grad;United-States;36
Male;*;*;*;Married-civ-spouse;*;High-School;United-States;53
Male;*;*;Non-Government;Married-civ-spouse;Sales;Undergraduate;United-States;56
*;*;*;Government;Married-civ-spouse;*;Higher-education;United-States;49
*;*;*;Non-Government;Married-civ-spouse;Nontechnical;Some-college;United-States;55
Male;<=50K;White;Private;Never-married;Craft-repair;HS-grad;United-States;22
Female;<=50K;White;Private;Never-married;Other-service;Some-college;United-States;21
*;*;White;Non-Government;*;Exec-managerial;Bachelors;United-States;40
Male;*;*;Non-Government;*;*;Higher-education;*;30
*;*;White;Government;*;Prof-specialty;Bachelors;United-States;29
*;<=50K;*;*;Never-married;Other-service;Some-college;United-States;19
*;*;White;*;Married-civ-spouse;Exec-managerial;Bachelors;United-States;47
Female;<=50K;White;Private;Never-married;Adm-clerical;Some-college;United-States;20
*;*;White;*;*;*;Professional-Education;United-States;31
Male;*;White;Private;*;Craft-repair;Some-college;United-States;39
*;*;White;Private;*;Nontechnical;Assoc-acdm;United-States;28
